intersection_cluster,lat,lon,accident_count
101,45.4191891,-75.6915052,17
102,45.41231169999999,-75.6881439,10
103,45.41125009999999,-75.6958069,29
104,45.41785579999999,-75.6903645,31
105,45.4210503,-75.6958572,20
106,45.41964839999999,-75.702913,22
107,45.428667,-75.6960333,36
108,45.41216060000001,-75.6936022,65
110,45.4226453,-75.6999086,28
111,45.4234948,-75.6979537,21
112,45.4136096,-75.700632,22
113,45.413824,-75.6895885,31
114,45.42948739999999,-75.6940632,20
115,45.413192,-75.7067548,11
116,45.40857479999999,-75.6915501,66
117,45.42982365,-75.68899825,27
118,45.4202543,-75.7034146,5
119,45.4140626,-75.6952438,22
120,45.4288541,-75.6911182,39
121,45.42079659999999,-75.6983053,18
122,45.41562570000001,-75.6884469,12
123,45.4296131,-75.6917394,36
124,45.4179236,-75.6985455,15
125,45.41084359999999,-75.69284,19
126,45.4168979,-75.7054685,20
128,45.4218073,-75.7018936,32
129,45.41033939999999,-75.7086887,13
130,45.4163461,-75.7085954,9
131,45.410599100000006,-75.6894627,66
132,45.4175591,-75.703922,29
133,45.4167927,-75.7032886,26
134,45.4272899,-75.6948764,21
135,45.42020490000001,-75.6977922,29
136,45.4090143,-75.7011634,17
137,45.4318195,-75.6905947,26
139,45.4130116,-75.6915546,34
140,45.42421129999999,-75.6924121,49
142,45.416700100000014,-75.6975099,8
143,45.4263086,-75.6940521,29
144,45.4097361,-75.6994303,8
145,45.40838240000001,-75.7142058,18
146,45.4242114,-75.6963024,41
147,45.4268931,-75.6842336,29
148,45.42876575,-75.68575179999999,117
149,45.4294924,-75.6839973,32
150,45.42736289999999,-75.67802370000001,7
152,45.43078640000001,-75.680879,23
153,45.4314381,-75.67932170000002,18
154,45.42605879999999,-75.6811426,14
155,45.4265024,-75.6800805,14
156,45.4301457,-75.6824384,23
157,45.4273482,-75.6870332,19
158,45.4262735,-75.6837078,22
159,45.42810345,-75.68526374999999,27
160,45.41271300000001,-75.6801338,38
161,45.4117514,-75.682756,45
162,45.4112659,-75.6792852,11
164,45.41211419999999,-75.6797741,32
165,45.4122553,-75.6855077,16
166,45.4143515,-75.6811158,16
169,45.41376979999999,-75.7107348,16
170,45.41722965,-75.71352135000001,14
171,45.4216834,-75.6914765,23
173,45.4260773,-75.6920358,6
175,45.432446600000006,-75.7124836,0
178,45.4270143,-75.7106983,0
179,45.4272574,-75.7108638,0
180,45.4239237,-75.6948524,1
181,45.4239959,-75.6901462,6
182,45.4224675,-75.69393414999999,38
183,45.42442869999999,-75.69486080000001,16
184,45.42458669999999,-75.6951605,18
185,45.4248095,-75.6928992,12
186,45.4250979,-75.6940747,51
187,45.42686489999999,-75.69239,11
188,45.4291219,-75.69692740000002,29
189,45.41785719999999,-75.6785462,12
190,45.424176,-75.6856276,6
191,45.41478266666667,-75.6904098,6
192,45.4130915,-75.6862443,19
193,45.42412970000001,-75.6882608,12
194,45.431994400000015,-75.6779931,18
195,45.40977109999999,-75.7150456,4
197,45.4261125,-75.6879747,32
198,45.424979575,-75.687643,71
199,45.42390610000001,-75.6867036,11
200,45.4289141,-75.6974462,3
201,45.4200517,-75.7062627,6
202,45.41986149999999,-75.70629060000002,6
203,45.425325566666665,-75.6940199,50
204,45.42558925,-75.69337065,66
