intersection_cluster,lat,lon,accident_count
287,45.4073318,-75.6908363,52
288,45.41144250000001,-75.690194,92
289,45.42710460000001,-75.6896551,372
290,45.4079391,-75.6958388,119
291,45.4094897,-75.71055590000002,29
293,45.415369,-75.696364,59
294,45.41491639999999,-75.6932062,73
295,45.4043915,-75.6891698,23
296,45.4180982,-75.7065247,109
298,45.42801669999999,-75.68753720000001,331
300,45.4161564,-75.7048224,81
302,45.418756300000005,-75.696536,119
303,45.4016571,-75.6875922,23
305,45.4171952,-75.6897942,49
306,45.404552,-75.7238948,14
308,45.4103809,-75.6978887,36
309,45.40374799999999,-75.7088,70
310,45.3969327,-75.72679215,57
311,45.4143215,-75.7074086,72
312,45.4199413,-75.7002582,141
315,45.43086540000001,-75.6928213,94
316,45.4191891,-75.6915052,57
317,45.41231169999999,-75.6881439,83
318,45.41125009999999,-75.6958069,80
319,45.41785579999999,-75.6903645,71
321,45.40062390000001,-75.7095214,21
322,45.4210503,-75.6958572,156
323,45.41964839999999,-75.702913,106
324,45.428667,-75.6960333,110
325,45.41216060000001,-75.6936022,72
326,45.40077169999999,-75.7291265,72
327,45.39974279999999,-75.7319539,40
329,45.4226453,-75.6999086,78
331,45.4234948,-75.6979537,82
332,45.39930519999999,-75.708726,12
333,45.4136096,-75.700632,50
334,45.405849,-75.7083748,47
335,45.40532625,-75.7021985,152
336,45.413824,-75.6895885,67
337,45.404632,-75.7119389,41
338,45.42948739999999,-75.6940632,147
341,45.413192,-75.7067548,16
342,45.40857479999999,-75.6915501,219
343,45.42982365,-75.68899825,94
344,45.4202543,-75.7034146,62
345,45.4140626,-75.6952438,58
346,45.40711829999999,-75.7054505,49
347,45.4288541,-75.6911182,118
348,45.40196559999999,-75.7103335,28
349,45.42079659999999,-75.6983053,135
351,45.41562570000001,-75.6884469,19
352,45.4296131,-75.6917394,95
353,45.4179236,-75.6985455,96
354,45.41084359999999,-75.69284,142
356,45.40529029999998,-75.709726,80
358,45.4168979,-75.7054685,97
360,45.4218073,-75.7018936,81
361,45.41033939999999,-75.7086887,26
362,45.4163461,-75.7085954,62
363,45.4082518,-75.7336158,4
364,45.410599100000006,-75.6894627,148
365,45.4030258,-75.6883894,31
366,45.4064831,-75.72056610000001,17
367,45.4175591,-75.703922,140
369,45.4167927,-75.7032886,104
370,45.4051504,-75.6895933,20
371,45.4272899,-75.6948764,58
372,45.4019339,-75.7076985,19
373,45.42020490000001,-75.6977922,151
374,45.4090143,-75.7011634,9
375,45.4318195,-75.6905947,195
377,45.4130116,-75.6915546,100
378,45.42421129999999,-75.6924121,151
380,45.416700100000014,-75.6975099,36
381,45.4263086,-75.6940521,156
382,45.4097361,-75.6994303,18
383,45.40838240000001,-75.7142058,22
384,45.4242114,-75.6963024,87
390,45.417799,-75.63374293333332,106
392,45.41159925,-75.64548245,57
394,45.4141029,-75.64340995,40
397,45.4369107,-75.64447705,18
398,45.43413665,-75.64290305,87
400,45.43218304285714,-75.6482063,22
401,45.4247386,-75.63547055000001,169
402,45.435754450000005,-75.64382865000002,25
403,45.4317186,-75.65453726000001,34
