intersection_cluster,lat,lon,distance_group,accident_count
401,45.4247386,-75.63547055000001,100–150m,0
402,45.43575444999999,-75.64382865000002,150–200m,0
403,45.4317186,-75.65453726000001,100–150m,0
405,45.43199653999999,-75.65054414,150–200m,0
409,45.42563699999999,-75.63801906666667,150–200m,0
415,45.42689309999999,-75.6842336,50–100m,0
416,45.4332809,-75.6748886,100–150m,0
418,45.42876575,-75.68575179999999,50–100m,0
420,45.43292499999999,-75.6699744,50–100m,0
422,45.430920749999984,-75.66626918333334,150–200m,0
423,45.42949239999999,-75.6839973,100–150m,0
424,45.427362899999984,-75.67802370000001,150–200m,0
426,45.4307864,-75.680879,100–150m,0
427,45.43143809999999,-75.67932170000002,100–150m,0
429,45.43271459999999,-75.6762527,100–150m,0
431,45.42605879999999,-75.6811426,50–100m,0
432,45.43320499999999,-75.66901610000001,50–100m,0
433,45.431080225,-75.66400652499998,150–200m,0
435,45.4265024,-75.6800805,50–100m,0
436,45.4301457,-75.6824384,100–150m,0
437,45.4273482,-75.6870332,100–150m,0
440,45.42627349999999,-75.6837078,50–100m,0
441,45.4367986,-75.659777,100–150m,0
442,45.4357589,-75.6624411,50–100m,0
443,45.43538649999999,-75.6634148,50–100m,0
444,45.42810345,-75.68526374999999,50–100m,0
445,45.43620729999999,-75.6612852,100–150m,15
448,45.41271299999999,-75.6801338,50–100m,0
451,45.41175139999999,-75.682756,100–150m,0
453,45.41126589999999,-75.6792852,100–150m,0
455,45.4189787,-75.6775327,150–200m,0
456,45.41211419999999,-75.6797741,50–100m,0
458,45.41225529999999,-75.6855077,100–150m,0
459,45.4143515,-75.6811158,150–200m,0
463,45.44808989999999,-75.5923375,150–200m,0
468,45.45101319999999,-75.5848817,150–200m,0
471,45.4388933,-75.6536026,150–200m,0
472,45.4499616,-75.5881267,150–200m,0
474,45.43833849999999,-75.60148480000001,100–150m,0
475,45.44912989999999,-75.59010705,150–200m,0
476,45.43807149999999,-75.6560518,150–200m,0
480,45.4394782,-75.651815,150–200m,0
482,45.439292299999984,-75.6770168,50–100m,0
483,45.43749309999999,-75.6578409,150–200m,0
494,45.46234064999999,-75.5241097,150–200m,0
505,45.43986189999999,-75.6763188,50–100m,0
507,45.44308099999999,-75.6408945,100–150m,0
509,45.43834954999999,-75.67777775,100–150m,0
510,45.44268519999999,-75.64210785,100–150m,0
513,45.40140579999999,-75.62418735,100–150m,0
521,45.39886209999999,-75.622526,100–150m,0
526,45.41734575,-75.60045869999999,150–200m,0
534,45.41324684999999,-75.61214165000001,150–200m,0
541,45.43090455,-75.56648709999999,150–200m,0
545,45.41248974999999,-75.61402815,150–200m,0
546,45.43168529999999,-75.56454,150–200m,13
567,45.3313472,-75.7220975,150–200m,0
578,45.325886,-75.71903205,150–200m,0
582,45.32737225,-75.71986665,150–200m,0
587,45.3534548,-75.7303644,100–150m,0
592,45.36746979999998,-75.7032167,150–200m,0
598,45.33004784999999,-75.72138325,150–200m,0
606,45.3629747,-75.73647390000001,150–200m,0
609,45.352390499999984,-75.73092145000001,100–150m,0
611,45.369886,-75.7023048,100–150m,0
613,45.3465442,-75.7011796,150–200m,0
615,45.34588699999999,-75.7032862,150–200m,0
626,45.37490274999999,-75.6522851,150–200m,0
629,45.32919969999999,-75.6539364,150–200m,0
631,45.36901659999999,-75.66664113333333,150–200m,0
634,45.3476022,-75.62532200000001,150–200m,0
636,45.37124889999999,-75.6611618,150–200m,0
642,45.35369365,-75.6461858,50–100m,0
643,45.374030950000005,-75.654356,150–200m,0
647,45.36972644999999,-75.66494549999999,150–200m,0
648,45.34857964999999,-75.62697705,150–200m,0
657,45.4968889,-75.47969795,50–100m,0
672,45.43718374999999,-75.69737905,150–200m,0
673,45.41376979999999,-75.7107348,150–200m,0
674,45.41625115,-75.6696517,150–200m,0
675,45.41843259999999,-75.6750526,150–200m,0
680,45.40093709999999,-75.625888,150–200m,0
682,45.40095319999999,-75.6255813,100–150m,0
686,45.3928973,-75.6825115,150–200m,0
689,45.38379943333332,-75.6717857,150–200m,0
690,45.38886016666666,-75.67719470000002,100–150m,0
697,45.38247379999999,-75.670597,150–200m,0
701,45.3955946,-75.6841559,150–200m,0
702,45.391364699999976,-75.6807993,150–200m,9
703,45.38799414999998,-75.6763722,100–150m,0
705,45.38799169999999,-75.6760928,100–150m,0
708,45.39982239999999,-75.686544,100–150m,0
712,45.3900606,-75.6791448,150–200m,0
713,45.3942777,-75.6834181,150–200m,0
716,45.451745,-75.5825631,150–200m,0
720,45.38968116666666,-75.72576240000001,50–100m,0
721,45.41722965,-75.71352135000001,100–150m,0
722,45.38943599999999,-75.72585543333334,50–100m,0
735,45.42168339999999,-75.6914765,100–150m,0
740,45.41541165,-75.7164729,150–200m,0
741,45.41445954999999,-75.7183919,150–200m,0
742,45.3675414,-75.7526439,100–150m,0
751,45.19553019999999,-75.8369925,150–200m,0
754,45.1943404,-75.8388884,150–200m,0
761,45.4772495,-75.493118,150–200m,0
764,45.47707899999998,-75.49087900000002,150–200m,0
766,45.42607729999998,-75.6920358,50–100m,0
767,45.34939721999999,-75.80530612,150–200m,0
770,45.3474937,-75.78910435,100–150m,0
771,45.3477165,-75.78855295000001,100–150m,0
772,45.34805319999999,-75.7874544,100–150m,0
775,45.40581829999999,-75.7226936,150–200m,0
780,45.4239237,-75.6948524,50–100m,0
781,45.42399589999999,-75.6901462,150–200m,0
782,45.42246749999999,-75.69393414999999,50–100m,0
783,45.47486725,-75.51771835,150–200m,0
785,45.4192321,-75.6343925,150–200m,0
790,45.3857919,-75.7408237,100–150m,0
795,45.42442869999999,-75.69486080000001,50–100m,0
796,45.42458669999999,-75.6951605,100–150m,0
797,45.4248095,-75.6928992,100–150m,0
798,45.42509789999999,-75.6940747,50–100m,0
799,45.42686489999999,-75.69239,150–200m,0
800,45.4291219,-75.69692740000002,100–150m,0
803,45.3344748,-75.6933273,50–100m,0
806,45.4044778,-75.7016173,100–150m,0
