from_cluster,to_cluster,road_distance_m
1008,1167,153.51
1008,1168,171.67
1019,1021,156.84
1019,1022,166.17
1019,1023,186.1
1019,1223,195.88
1020,1021,174.91
1020,1022,184.23
1020,1224,199.77
1039,1041,189.85
1039,1042,174.98
1040,1041,175.42
1040,1042,160.56
1058,1059,159.6
1058,1060,178.8
1072,1074,141.61
1072,1076,154.59
1073,1074,141.61
1073,1076,154.59
1074,1078,150.92
1074,1463,150.92
1075,1076,71.39
1076,1078,137.94
1076,1463,137.94
1077,1079,64.23
1077,1080,89.64
1114,1351,60.72
1114,1352,72.57
1155,1157,132.75
1156,1159,81.49
1161,1747,84.05
1161,1749,95.17
1161,1750,84.05
1186,1270,165.2
1186,1272,197.04
1186,1273,181.39
1202,1617,129.91
1250,1251,60.95
1251,1252,59.93
1252,1253,60.6
1303,1304,58.06
1305,1306,53.25
1306,1307,52.76
1307,1308,53.37
1350,1617,139.5
1362,1363,79.82
1362,1364,60.66
1373,1375,51.05
1376,1378,50.14
1403,1538,187.87
1404,1538,187.87
1472,1721,50.57
1480,1617,163.49
1484,1485,51.39
1484,1486,67.55
1484,1487,82.29
1513,1514,72.53
1552,1555,54.0
1593,1594,60.17
1594,1595,193.8
1607,1617,153.32
1635,1651,168.89
1650,1651,67.02
1689,1696,131.44
1690,1696,116.31
1691,1696,116.31
1692,1696,131.44
1693,1694,74.9
1693,1695,74.9
1693,1696,88.68
1746,1747,84.05
1746,1749,95.17
1746,1750,84.05
1747,1751,84.05
1749,1751,95.17
1750,1751,84.05
