intersection_cluster,geometry,lat,lon,nearest_node
362,POINT (-75.7085954 45.4163461),45.4163461,-75.7085954,901064676
363,POINT (-75.7336158 45.40825179999999),45.40825179999999,-75.7336158,901064696
364,POINT (-75.6894627 45.4105991),45.4105991,-75.6894627,901064759
365,POINT (-75.6883894 45.403025799999995),45.403025799999995,-75.6883894,901065003
366,POINT (-75.72056610000001 45.406483099999996),45.406483099999996,-75.72056610000001,901065088
367,POINT (-75.703922 45.417559099999984),45.417559099999984,-75.703922,901065111
369,POINT (-75.7032886 45.416792699999995),45.416792699999995,-75.7032886,901065329
370,POINT (-75.6895933 45.40515039999999),45.40515039999999,-75.6895933,901065449
371,POINT (-75.6948764 45.42728989999999),45.42728989999999,-75.6948764,901065091
372,POINT (-75.7076985 45.401933899999996),45.401933899999996,-75.7076985,901065559
373,POINT (-75.6977922 45.420204899999995),45.420204899999995,-75.6977922,901065600
374,POINT (-75.7011634 45.4090143),45.4090143,-75.7011634,901065675
375,POINT (-75.6905947 45.431819499999996),45.431819499999996,-75.6905947,901065732
377,POINT (-75.6915546 45.4130116),45.4130116,-75.6915546,901065861
378,POINT (-75.6924121 45.42421129999999),45.42421129999999,-75.6924121,901065897
380,POINT (-75.6975099 45.41670009999999),45.41670009999999,-75.6975099,901066149
381,POINT (-75.6940521 45.42630859999999),45.42630859999999,-75.6940521,901066170
382,POINT (-75.6994303 45.4097361),45.4097361,-75.6994303,901066242
383,POINT (-75.7142058 45.4083824),45.4083824,-75.7142058,901066244
384,POINT (-75.6963024 45.42421139999998),45.42421139999998,-75.6963024,901066423
390,POINT (-75.63374293333332 45.41779899999998),45.41779899999998,-75.63374293333332,1558604896
392,POINT (-75.64548245 45.411599249999995),45.411599249999995,-75.64548245,901143860
394,POINT (-75.64340995 45.41410289999999),45.41410289999999,-75.64340995,2194861628
397,POINT (-75.64447705 45.4369107),45.4369107,-75.64447705,901151596
398,POINT (-75.64290305 45.434136649999985),45.434136649999985,-75.64290305,901146554
400,POINT (-75.6482063 45.43218304285714),45.43218304285714,-75.6482063,901147163
401,POINT (-75.63547055000001 45.4247386),45.4247386,-75.63547055000001,901147177
402,POINT (-75.64382865000002 45.43575444999999),45.43575444999999,-75.64382865000002,901151758
403,POINT (-75.65453726000001 45.431718599999996),45.431718599999996,-75.65453726000001,901148049
405,POINT (-75.65054414 45.431996539999986),45.431996539999986,-75.65054414,901148225
409,POINT (-75.63801906666667 45.42563699999999),45.42563699999999,-75.63801906666667,1496556881
415,POINT (-75.6842336 45.42689309999999),45.42689309999999,-75.6842336,901205379
416,POINT (-75.6748886 45.4332809),45.4332809,-75.6748886,901205729
418,POINT (-75.68575179999999 45.42876575),45.42876575,-75.68575179999999,901206018
420,POINT (-75.6699744 45.43292499999999),45.43292499999999,-75.6699744,901206767
422,POINT (-75.66626918333334 45.430920749999984),45.430920749999984,-75.66626918333334,901207270
423,POINT (-75.6839973 45.42949239999999),45.42949239999999,-75.6839973,901207639
424,POINT (-75.67802370000001 45.427362899999984),45.427362899999984,-75.67802370000001,901207931
426,POINT (-75.680879 45.4307864),45.4307864,-75.680879,901208999
427,POINT (-75.67932170000002 45.43143809999999),45.43143809999999,-75.67932170000002,901209211
429,POINT (-75.6762527 45.43271459999999),45.43271459999999,-75.6762527,901209345
431,POINT (-75.6811426 45.42605879999999),45.42605879999999,-75.6811426,901209818
432,POINT (-75.66901610000001 45.43320499999999),45.43320499999999,-75.66901610000001,901209862
433,POINT (-75.66400652499998 45.431080224999995),45.431080224999995,-75.66400652499998,901209898
435,POINT (-75.6800805 45.4265024),45.4265024,-75.6800805,901210070
436,POINT (-75.6824384 45.4301457),45.4301457,-75.6824384,901210139
437,POINT (-75.6870332 45.4273482),45.4273482,-75.6870332,901210202
440,POINT (-75.6837078 45.426273499999986),45.426273499999986,-75.6837078,901212065
441,POINT (-75.659777 45.436798599999996),45.436798599999996,-75.659777,901212087
442,POINT (-75.6624411 45.435758899999996),45.435758899999996,-75.6624411,901212150
443,POINT (-75.6634148 45.43538649999999),45.43538649999999,-75.6634148,901212304
444,POINT (-75.68526374999999 45.42810345),45.42810345,-75.68526374999999,1419743461
445,POINT (-75.6612852 45.43620729999999),45.43620729999999,-75.6612852,901212724
448,POINT (-75.6801338 45.41271299999999),45.41271299999999,-75.6801338,901214415
451,POINT (-75.682756 45.41175139999999),45.41175139999999,-75.682756,901218065
453,POINT (-75.6792852 45.41126589999999),45.41126589999999,-75.6792852,901218761
455,POINT (-75.6775327 45.4189787),45.4189787,-75.6775327,901222726
456,POINT (-75.6797741 45.41211419999999),45.41211419999999,-75.6797741,901220974
458,POINT (-75.6855077 45.41225529999999),45.41225529999999,-75.6855077,901221872
459,POINT (-75.6811158 45.414351499999995),45.414351499999995,-75.6811158,901222941
463,POINT (-75.5923375 45.448089899999985),45.448089899999985,-75.5923375,901321306
468,POINT (-75.5848817 45.45101319999999),45.45101319999999,-75.5848817,12537437643
471,POINT (-75.6536026 45.4388933),45.4388933,-75.6536026,901331618
472,POINT (-75.5881267 45.449961599999995),45.449961599999995,-75.5881267,901337591
474,POINT (-75.60148480000001 45.438338499999986),45.438338499999986,-75.60148480000001,901357254
475,POINT (-75.59010705 45.44912989999999),45.44912989999999,-75.59010705,904001752
476,POINT (-75.6560518 45.43807149999999),45.43807149999999,-75.6560518,901342787
480,POINT (-75.651815 45.4394782),45.4394782,-75.651815,901353778
482,POINT (-75.6770168 45.439292299999984),45.439292299999984,-75.6770168,901361511
483,POINT (-75.6578409 45.43749309999999),45.43749309999999,-75.6578409,901371220
494,POINT (-75.5241097 45.46234064999999),45.46234064999999,-75.5241097,901429033
505,POINT (-75.6763188 45.43986189999999),45.43986189999999,-75.6763188,901450976
507,POINT (-75.6408945 45.44308099999999),45.44308099999999,-75.6408945,4688852999
509,POINT (-75.67777775 45.43834954999999),45.43834954999999,-75.67777775,901457855
510,POINT (-75.64210785 45.442685199999985),45.442685199999985,-75.64210785,4688852989
513,POINT (-75.62418735 45.40140579999999),45.40140579999999,-75.62418735,901492365
521,POINT (-75.622526 45.39886209999999),45.39886209999999,-75.622526,901500607
526,POINT (-75.60045869999999 45.417345749999996),45.417345749999996,-75.60045869999999,901529379
534,POINT (-75.61214165000001 45.41324684999999),45.41324684999999,-75.61214165000001,901526942
541,POINT (-75.56648709999999 45.430904549999994),45.430904549999994,-75.56648709999999,901535151
545,POINT (-75.61402815 45.41248974999999),45.41248974999999,-75.61402815,4526567490
546,POINT (-75.56454 45.43168529999999),45.43168529999999,-75.56454,901539546
567,POINT (-75.7220975 45.331347199999996),45.331347199999996,-75.7220975,901775427
578,POINT (-75.71903205 45.325886),45.325886,-75.71903205,901783899
582,POINT (-75.71986665 45.327372249999996),45.327372249999996,-75.71986665,901786316
587,POINT (-75.7303644 45.353454799999994),45.353454799999994,-75.7303644,901789640
592,POINT (-75.7032167 45.36746979999998),45.36746979999998,-75.7032167,901791619
598,POINT (-75.72138325 45.330047849999985),45.330047849999985,-75.72138325,901794005
606,POINT (-75.73647390000001 45.362974699999995),45.362974699999995,-75.73647390000001,2188959550
609,POINT (-75.73092145000001 45.352390499999984),45.352390499999984,-75.73092145000001,9373967969
611,POINT (-75.7023048 45.369885999999994),45.369885999999994,-75.7023048,901800257
613,POINT (-75.7011796 45.3465442),45.3465442,-75.7011796,901799528
615,POINT (-75.7032862 45.34588699999999),45.34588699999999,-75.7032862,901801363
626,POINT (-75.6522851 45.37490274999999),45.37490274999999,-75.6522851,901829890
629,POINT (-75.6539364 45.32919969999999),45.32919969999999,-75.6539364,901833180
631,POINT (-75.66664113333333 45.36901659999999),45.36901659999999,-75.66664113333333,904044704
634,POINT (-75.62532200000001 45.3476022),45.3476022,-75.62532200000001,4554036445
636,POINT (-75.6611618 45.37124889999999),45.37124889999999,-75.6611618,901840509
642,POINT (-75.6461858 45.35369365),45.35369365,-75.6461858,901845643
643,POINT (-75.654356 45.374030950000005),45.374030950000005,-75.654356,901845689
647,POINT (-75.66494549999999 45.36972644999999),45.36972644999999,-75.66494549999999,901851416
648,POINT (-75.62697705 45.34857964999999),45.34857964999999,-75.62697705,4659592982
657,POINT (-75.47969795 45.4968889),45.4968889,-75.47969795,8623231444
672,POINT (-75.69737905 45.43718374999999),45.43718374999999,-75.69737905,903980611
673,POINT (-75.7107348 45.41376979999999),45.41376979999999,-75.7107348,903980692
674,POINT (-75.6696517 45.416251149999994),45.416251149999994,-75.6696517,901215664
675,POINT (-75.6750526 45.41843259999999),45.41843259999999,-75.6750526,903982473
680,POINT (-75.625888 45.40093709999999),45.40093709999999,-75.625888,903987299
682,POINT (-75.6255813 45.40095319999999),45.40095319999999,-75.6255813,903993907
686,POINT (-75.6825115 45.392897299999994),45.392897299999994,-75.6825115,903991584
689,POINT (-75.6717857 45.383799433333316),45.383799433333316,-75.6717857,903993416
690,POINT (-75.67719470000002 45.38886016666666),45.38886016666666,-75.67719470000002,9175675725
697,POINT (-75.670597 45.382473799999985),45.382473799999985,-75.670597,903992884
701,POINT (-75.6841559 45.395594599999995),45.395594599999995,-75.6841559,903993232
702,POINT (-75.6807993 45.391364699999976),45.391364699999976,-75.6807993,903993244
703,POINT (-75.6763722 45.38799414999998),45.38799414999998,-75.6763722,9175675722
705,POINT (-75.6760928 45.387991699999986),45.387991699999986,-75.6760928,9175675723
708,POINT (-75.686544 45.39982239999999),45.39982239999999,-75.686544,903993857
712,POINT (-75.6791448 45.3900606),45.3900606,-75.6791448,903994347
713,POINT (-75.6834181 45.394277699999996),45.394277699999996,-75.6834181,903995215
716,POINT (-75.5825631 45.451744999999995),45.451744999999995,-75.5825631,904003969
720,POINT (-75.72576240000001 45.38968116666666),45.38968116666666,-75.72576240000001,900986758
721,POINT (-75.71352135000001 45.417229649999996),45.417229649999996,-75.71352135000001,905117583
722,POINT (-75.72585543333334 45.38943599999999),45.38943599999999,-75.72585543333334,900991822
735,POINT (-75.6914765 45.42168339999999),45.42168339999999,-75.6914765,901049787
740,POINT (-75.7164729 45.415411649999996),45.415411649999996,-75.7164729,943076491
741,POINT (-75.7183919 45.41445954999999),45.41445954999999,-75.7183919,943078213
742,POINT (-75.7526439 45.3675414),45.3675414,-75.7526439,958447222
751,POINT (-75.8369925 45.19553019999999),45.19553019999999,-75.8369925,984895831
754,POINT (-75.8388884 45.194340399999994),45.194340399999994,-75.8388884,984898748
761,POINT (-75.493118 45.4772495),45.4772495,-75.493118,1017343456
764,POINT (-75.49087900000002 45.47707899999998),45.47707899999998,-75.49087900000002,1017352072
766,POINT (-75.6920358 45.42607729999998),45.42607729999998,-75.6920358,1416671064
767,POINT (-75.80530612 45.34939721999999),45.34939721999999,-75.80530612,1103562656
770,POINT (-75.78910435 45.347493699999994),45.347493699999994,-75.78910435,899952156
771,POINT (-75.78855295000001 45.3477165),45.3477165,-75.78855295000001,1103966461
772,POINT (-75.7874544 45.34805319999999),45.34805319999999,-75.7874544,492601741
775,POINT (-75.7226936 45.40581829999999),45.40581829999999,-75.7226936,1236348024
780,POINT (-75.6948524 45.4239237),45.4239237,-75.6948524,901051833
781,POINT (-75.6901462 45.42399589999999),45.42399589999999,-75.6901462,2372889194
782,POINT (-75.69393414999999 45.42246749999999),45.42246749999999,-75.69393414999999,901065933
783,POINT (-75.51771835 45.47486725),45.47486725,-75.51771835,5711805848
785,POINT (-75.6343925 45.4192321),45.4192321,-75.6343925,3962693811
790,POINT (-75.7408237 45.385791899999994),45.385791899999994,-75.7408237,900988775
795,POINT (-75.69486080000001 45.42442869999999),45.42442869999999,-75.69486080000001,901051833
796,POINT (-75.6951605 45.424586699999985),45.424586699999985,-75.6951605,901046514
797,POINT (-75.6928992 45.424809499999995),45.424809499999995,-75.6928992,1416718361
798,POINT (-75.6940747 45.42509789999999),45.42509789999999,-75.6940747,901047995
799,POINT (-75.69239 45.42686489999999),45.42686489999999,-75.69239,901045268
800,POINT (-75.69692740000002 45.4291219),45.4291219,-75.69692740000002,1420516173
