intersection_cluster,geometry,lat,lon
132,POINT (-75.78348894999999 45.367168050000004),45.367168050000004,-75.78348894999999
133,POINT (-75.7724777 45.373307399999995),45.373307399999995,-75.7724777
134,POINT (-75.7540388 45.36947979999999),45.36947979999999,-75.7540388
135,POINT (-75.78160476666666 45.32998613333333),45.32998613333333,-75.78160476666666
136,POINT (-75.7514621 45.35628469999999),45.35628469999999,-75.7514621
137,POINT (-75.7849993 45.335777399999984),45.335777399999984,-75.7849993
138,POINT (-75.7709599 45.36595149999999),45.36595149999999,-75.7709599
139,POINT (-75.7615731 45.340748699999985),45.340748699999985,-75.7615731
140,POINT (-75.7859915 45.3674729),45.3674729,-75.7859915
141,POINT (-75.81114495 45.337207699999986),45.337207699999986,-75.81114495
142,POINT (-75.7663055 45.35756099999999),45.35756099999999,-75.7663055
143,POINT (-75.7979529 45.3540893),45.3540893,-75.7979529
144,POINT (-75.7559912 45.33242459999998),45.33242459999998,-75.7559912
145,POINT (-75.7727577 45.36912084999999),45.36912084999999,-75.7727577
146,POINT (-75.7911009 45.3518072),45.3518072,-75.7911009
147,POINT (-75.7534906 45.3684768),45.3684768,-75.7534906
148,POINT (-75.8078304 45.348253199999995),45.348253199999995,-75.8078304
149,POINT (-75.7872084 45.34812429999999),45.34812429999999,-75.7872084
150,POINT (-75.87480055 45.300565549999995),45.300565549999995,-75.87480055
151,POINT (-75.8459942 45.28495529999999),45.28495529999999,-75.8459942
152,POINT (-75.87255139999999 45.29643399999999),45.29643399999999,-75.87255139999999
153,POINT (-75.87111135 45.293779099999995),45.293779099999995,-75.87111135
154,POINT (-75.8447597 45.281756),45.281756,-75.8447597
155,POINT (-75.86960214999999 45.29099124999999),45.29099124999999,-75.86960214999999
156,POINT (-75.8291803 45.31178909999999),45.31178909999999,-75.8291803
157,POINT (-75.86550440000002 45.288898399999994),45.288898399999994,-75.86550440000002
158,POINT (-75.8039588 45.3120684),45.3120684,-75.8039588
159,POINT (-75.7929649 45.27145219999999),45.27145219999999,-75.7929649
160,POINT (-75.7799056 45.27865779999998),45.27865779999998,-75.7799056
161,POINT (-75.7987664 45.27033019999999),45.27033019999999,-75.7987664
162,POINT (-75.80287444999999 45.26955045),45.26955045,-75.80287444999999
163,POINT (-75.7432079 45.382199499999984),45.382199499999984,-75.7432079
164,POINT (-75.7374391 45.3800208),45.3800208,-75.7374391
165,POINT (-75.7490775 45.384288),45.384288,-75.7490775
166,POINT (-75.7333462 45.38758429999999),45.38758429999999,-75.7333462
167,POINT (-75.73332100000002 45.37865419999999),45.37865419999999,-75.73332100000002
168,POINT (-75.7384408 45.381625799999995),45.381625799999995,-75.7384408
169,POINT (-75.735677 45.3895945),45.3895945,-75.735677
170,POINT (-75.7326087 45.38390169999999),45.38390169999999,-75.7326087
171,POINT (-75.7493231 45.37779789999998),45.37779789999998,-75.7493231
172,POINT (-75.74317 45.38145899999999),45.38145899999999,-75.74317
173,POINT (-75.7264921 45.38915360000001),45.38915360000001,-75.7264921
174,POINT (-75.72327700000001 45.38296869999999),45.38296869999999,-75.72327700000001
175,POINT (-75.7431198 45.389213799999986),45.389213799999986,-75.7431198
176,POINT (-75.7696177 45.382241099999995),45.382241099999995,-75.7696177
177,POINT (-75.7750017 45.3775389),45.3775389,-75.7750017
